Title,Year,Genres,Rating,Votes
The Shawshank Redemption,1994,Drama,9.3,3199370
The Godfather,1972,"Crime,Drama",9.2,2232183
The Chaos Class,1975,Comedy,9.1,46358
The Dark Knight,2008,"Crime,Thriller",9.1,3180142
12 Angry Men,1957,"Crime,Drama",9.0,987745
The Godfather Part II,1974,"Crime,Drama",9.0,1498182
Schindler's List,1993,"Biography,Drama,History",9.0,1588547
The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",9.0,2170446
Attack on Titan: The Last Attack,2024,"Action,Adventure,Animation",9.0,31130
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.9,2212653
Mirror Game,2016,"Crime,Mystery,Thriller",8.9,31048
"The Good, the Bad and the Ugly",1966,"Adventure,Drama,Western",8.8,892361
Forrest Gump,1994,"Drama,Romance",8.8,2504278
Pulp Fiction,1994,"Crime,Drama",8.8,2442075
Fight Club,1999,"Crime,Drama,Thriller",8.8,2619989
The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.8,1962624
Inception,2010,"Adventure,Sci-Fi,Thriller",8.8,2827344
Star Wars: Episode V - The Empire Strikes Back,1980,"Adventure,Fantasy,Sci-Fi",8.7,1508954
GoodFellas,1990,"Biography,Crime,Drama",8.7,1396570
The Matrix,1999,"Action,Sci-Fi",8.7,2254915
The Chaos Class Is Waking Up,1976,Comedy,8.7,22466
"Saban, Son of Saban",1977,"Comedy,History",8.7,20074
Interstellar,2014,"Adventure,Drama,Sci-Fi",8.7,2547001
12th Fail,2023,"Biography,Drama",8.7,173199
777 Charlie,2022,"Adventure,Comedy,Drama",8.7,47868
It's a Wonderful Life,1946,"Drama,Family,Fantasy",8.6,554934
Seven Samurai,1954,"Action,Drama",8.6,402640
Harakiri,1962,"Drama,Mystery",8.6,91943
One Flew Over the Cuckoo's Nest,1975,Drama,8.6,1158498
Star Wars: Episode IV - A New Hope,1977,"Action,Adventure,Fantasy",8.6,1574286
Nayakan,1987,"Crime,Drama",8.6,27944
The Silence of the Lambs,1991,"Crime,Drama,Horror",8.6,1728689
Terminator 2: Judgment Day,1991,"Action,Adventure,Sci-Fi",8.6,1287103
Seven,1995,"Crime,Drama,Mystery",8.6,2029358
Life Is Beautiful,1997,"Comedy,Drama,Romance",8.6,814982
The Green Mile,1999,"Crime,Drama,Fantasy",8.6,1566086
Saving Private Ryan,1998,"Drama,War",8.6,1645011
Spirited Away,2001,"Adventure,Animation,Family",8.6,971686
The Chaos Class Is on Vacation,1977,Comedy,8.6,20323
A Dog's Will,2000,"Comedy,Drama,Fantasy",8.6,21706
City of God,2002,"Crime,Drama",8.6,873312
Anbe Sivam,2003,"Adventure,Comedy,Drama",8.6,28354
Jai Bhim,2021,"Crime,Drama",8.6,234839
Pariyerum Perumal,2018,Drama,8.6,20565
City Lights,1931,"Comedy,Drama,Romance",8.5,216817
Modern Times,1936,"Comedy,Drama,Romance",8.5,285786
Casablanca,1942,"Drama,Romance,War",8.5,656059
Psycho,1960,"Drama,Horror,Mystery",8.5,787427
Le Trou,1960,"Crime,Drama,Thriller",8.5,23717
Once Upon a Time in the West,1968,"Drama,Western",8.5,384943
Gol Maal,1979,"Comedy,Romance",8.5,22119
Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5,1457746
Grave of the Fireflies,1988,"Animation,Drama,War",8.5,388215
Cinema Paradiso,1988,"Drama,Romance",8.5,317483
The Lion King,1994,"Adventure,Animation,Drama",8.5,1263236
Léon: The Professional,1994,"Action,Crime,Drama",8.5,1354339
The Usual Suspects,1995,"Crime,Drama,Mystery",8.5,1241582
American History X,1998,"Crime,Drama",8.5,1276155
Gladiator,2000,"Action,Adventure,Drama",8.5,1856084
The Pianist,2002,"Biography,Drama,Music",8.5,1014624
The Departed,2006,"Crime,Drama,Thriller",8.5,1559472
The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5,1594835
The Kashmir Files,2022,Drama,8.5,579199
Sarpatta Parambarai,2021,"Action,Drama,Sport",8.5,28723
The Intouchables,2011,"Comedy,Drama",8.5,1031021
Sita Ramam,2022,"Action,Drama,Musical",8.5,84310
Whiplash,2014,"Drama,Music",8.5,1161565
Meiyazhagan,2024,"Drama,Family",8.5,23028
Mahavatar Narsimha,2024,"Action,Animation,Drama",8.5,47744
Cocktail 2,2026,"Comedy,Drama,Romance",8.5,24168
96,2018,"Drama,Romance",8.5,45637
Kumbalangi Nights,2019,"Comedy,Drama,Romance",8.5,21833
Jersey,2019,"Drama,Sport",8.5,28504
Spider-Man: Across the Spider-Verse,2023,"Action,Adventure,Animation",8.5,530692
The Great Dictator,1940,"Comedy,Drama,War",8.4,258692
Sunset Boulevard,1950,"Drama,Film-Noir",8.4,261825
Rear Window,1954,"Drama,Mystery,Thriller",8.4,569541
Paths of Glory,1957,"Drama,War",8.4,239692
Witness for the Prosecution,1957,"Crime,Drama,Mystery",8.4,162640
The World of Apu,1959,Drama,8.4,20044
High and Low,1963,"Crime,Drama,Mystery",8.4,72168
Woman in the Dunes,1964,"Drama,Thriller",8.4,25619
Alien,1979,"Horror,Sci-Fi",8.4,1066962
Apocalypse Now,1979,"Drama,Mystery,War",8.4,772168
The Shining,1980,"Drama,Horror",8.4,1229924
Raiders of the Lost Ark,1981,Adventure,8.4,1112348
Amadeus,1984,"Biography,Drama,Music",8.4,469445
Aliens,1986,"Action,Adventure,Horror",8.4,841678
Good Will Hunting,1997,"Drama,Romance",8.4,1223110
Memento,2000,"Mystery,Thriller",8.4,1438731
The Chaos Class Failed the Class,1975,Comedy,8.4,30814
The Best of Youth,2003,"Drama,Romance",8.4,28295
Inglourious Basterds,2009,"Drama,War",8.4,1791916
Anniyan,2005,"Action,Crime,Drama",8.4,26527
Black Friday,2004,"Action,Crime,Drama",8.4,25976
The Lives of Others,2006,"Drama,Mystery,Thriller",8.4,444196
The Lizard,2004,"Comedy,Drama",8.4,24532
WALL·E,2008,"Adventure,Animation,Family",8.4,1326137
Drishyam 2,2021,"Crime,Drama,Mystery",8.4,45289
The Dark Knight Rises,2012,"Crime,Thriller",8.4,2001526
Dune: Part Two,2024,"Action,Adventure,Drama",8.4,763267
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,"Action,Animation,Fantasy",8.4,36341
Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,"Action,Adventure,Animation",8.4,73723
Drishyam,2013,"Crime,Drama,Mystery",8.4,48767
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,1379322
Avengers: Endgame,2019,"Action,Adventure,Sci-Fi",8.4,1454516
Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation",8.4,794982
Thani Oruvan,2015,"Action,Crime,Drama",8.4,24229
Vada Chennai,2018,"Action,Crime,Drama",8.4,24503
Capernaum,2018,Drama,8.4,124999
Kaithi,2019,"Action,Crime,Thriller",8.4,51967
M,1931,"Crime,Mystery,Thriller",8.3,183128
Double Indemnity,1944,"Crime,Drama,Film-Noir",8.3,181863
Children of Paradise,1945,"Drama,Romance",8.3,22561
Ikiru,1952,Drama,8.3,102700
Singin' in the Rain,1952,"Comedy,Musical,Romance",8.3,283418
The Cranes Are Flying,1957,"Drama,Romance,War",8.3,22697
North by Northwest,1959,"Adventure,Drama,Mystery",8.3,369225
The Apartment,1960,"Comedy,Drama,Romance",8.3,220265
